A
Active-matrix | 主动矩阵
Optical mouse | 光电鼠标
Optical scanner | 光电扫描仪
Outline | 大纲
off-line browsers | 离线浏览器
Online storage | 联机存储
OLE object linking and embedding | 对象链接入
OCR optical-character recognition | 光电字符识别器
OMR optical-mark recognition | 光标阅读器
P
palmtop computer | 掌上电脑
Parallel ports | 并行端口
Passive-matrix | 被动矩阵
PC card | 个人计算机卡
Personal laser printer | 个人激光打印机
Personal video recorder card | 个人视频记录卡
Photo printer | 照片打印机
Pixel | 像素
Platform scanner | 平版式扫描仪
Plotter | 绘图仪
Plug and play | 即插即用
Plug-in boards | 插件卡
Pointer | 指示器
Pointing stick | 指示棍
Port | 端口
Portable scanner | 便携式扫描仪
Presentation files | 演示文稿
Presentation graphics | 电子文稿程序
Primary storage | 主存
Procedures | 规程
Processor | 处理机
Programming control language | 程序控制语言
Packets | 数据包
Parallel data transmission | 平行数据传输
Peer-to-peer network system | 点对点网络系统
person-person auction site | 个人对个人拍卖站点
physical security | 物理安全
Pits | 凹面
plug-in | 插件程序
privacy | 隐私权
proactive | 主动地
programmer | 程序员
Protocols | 协议
provider | 供应商
project | 项目，工程
proxy server | 代理服务
pull products | 推取程序
push products | 推送程序
PDA（personal digital assistant） | 个人数字助理
PCI peripheral component interconnect | 外部设备互连总线
PCMCIA Personal Memory Card International Association | 个人计算机存储卡国际协会
R
RAM cache | 随机高速缓冲器
Range | 范围
Record | 记录
Relational database | 关系数据库
Replace | 替换
Resolution | 分辨率
Row | 行
Read-only | 只读
Reformatting | 重组
regional service provider | 区域性服务供应商
reverse directory | 反向目录
right to financial privacy act of 1979 | 财产隐私法案
Ring network | 环形网
RAM（random access memory） | 随机存储器
ROM read-only memory | 只读存储器
S
Scanner | 扫描器
Search | 查找
Secondary storage device | 辅助存储设备
Semiconductor | 半导体
Serial ports | 串行端口
Server | 服务器
Shared laser printer | 共享激光打印机
shakedown test | 调试
Sheet | 表格
Silicon chip | 硅片
Slots | 插槽
Smart card | 智能卡
Soft copy | 软拷贝
Software suite | 软件协议
Sorting | 排序
Source file | 源文件
Special-purpose application | 专用文件
Spreadsheet | 电子数据表
Standard toolbar | 标准工具栏
Supercomputer | 巨型机
System | 系统
Systemcabinet | 系统箱
System clock | 时钟
System software | 系统软件
Satellite/air connection services | 卫星无线连接服务
search engines | 搜索引擎
search providers | 搜索供应者
search services | 搜索服务器
Sectors | 扇区
security | 安全
Sending and receiving devices | 发送接收设备
Sequential access | 顺序存取
Serial data transmission | 单向通信
signature line | 签名档
snoopware | 监控软件
software copyright act of1980 | 软件版权法案
software piracy | 软件盗版
Solid-state storage | 固态存储器
specialized search engine | 专用搜索引擎
spiders | 网页爬虫
spike | 尖峰电压
Star network | 星型网
Strategy | 方案
subject | 主题
subscription address | 预定地址
Superdisk | 超级磁盘
surfing | 网上冲浪
surgeprotector | 浪涌保护器
systems analyst | 系统分析师...
SQL structured query language | 结构化查询语言
T
Table | 二维表
Telephony | 电话学
Television boards | 电视扩展卡
Terminal | 终端
Template | 模板
Text entry | 文本输入
Thermal printer | 热印刷
Thin client | 瘦客
Toggle key | 触发键
Toolbar | 工具栏
Touch screen | 触摸屏
Trackball | 追踪球
TV tuner card | 电视调谐卡
Two-state system | 双状态系统
technical writer | 技术协作者
technostress | 重压技术
telnet | 远程登录
Time-sharing system | 分时系统
Topology | 拓扑结构
Tracks | 磁道
traditional cookies | 传统的信息记录程序
Twisted pair | 双绞
TFT thin film transistor monitor | 薄膜晶体管显示器
U
Unicode | 统一字符标准
uploading | 上传
usenet | 世界性新闻组网络
URL uniform resource locator | 统一资源定位器
USB universal serial bus | 通用串行总线
V
Virtual memory | 虚拟内存
Video display screen | 视频显示屏
Voice recognition system | 声音识别系统
vertical portal | 纵向门户
video privacy protection act of 1988 | 视频隐私权保护法案
virus checker | 病毒检测程序
virus | 病毒
Voiceband | 音频带宽
Volatile storage | 易失性存储
voltage surge | 电涌
W
Wand reader | 条形码读入
Web | 网络
Web appliance | 环球网设备
Web page | 网页
Web site address | 网络地址
Web terminal | 环球网终端
Webcam | 摄像头
What-if analysis | 假定分析
Wireless revolution | 无线革命
Word | 字长
Word processing | 文字处理
Word wrap | 自动换行
Worksheet file | 工作文件
web auctions | 网上拍卖
web broadcasters | 网络广播
web portals | 门户网站
web sites | 网站
web storefront creation packages | 网上商店创建包
web storefronts | 网上商店
web utilities | 网上应用程序
web-downloading utilities | 网页下载应用程序
webmaster web | 站点管理员
web | 万维网
Wireless modems | 无线调制解调器
wireless service provider | 无线服务供应商
WWW（world wide web） | 万维网
worm | 蠕虫病毒
Write-protect notch | 写保护口
Wide area network(WAN) | 广域网
Web server | 服务器
well-connected | 连接良好
well-known services | 公认的服务
wide area network, WAN | 广域网
wildcard character | 通配符
wildcarding | 通配符方式
window menu | 窗口菜单
Task Manager | 任务管理器
Management Instrumentation | 管理规范
Services | 服务
Windows Internet Name Service | 命名服务
proxy | 代理
resource | 资源
Winsock
wireless communication | 无线通讯
Management Instrumentation | 管理规范
workgroup | 工作组
X
certificate | 证书
XOR, exclusive OR | 异或
Z
zone | 区域
zone list | 区域列表
zone transfer | 区域传送
Zip disk | 压缩磁盘
